datetime,159570,516100,588290,513090,159922,513560,159529,513750,516770,159738,513190,518680,159788,512070,512820,510230,159561,159713,513030,159612,159512,513310,512560,159822,159562,159687,513970,159513,560280,515450,513400,513730,513800,515210,511380,159698,512400,517090,511220,515060,513080,513290,159766,513360,159625,159745,513350,561360,159980,159985,159930,159981,ic
2024-11-20,-4638902.0,551465.0,1745692.0,196858375.0,3892502.0,563523.0,3345181.0,-5663564.0,517921.0,208671.0,-223157.0,-14121.0,-137495.0,-27663850.0,-388944.0,-3111292.0,-217263.0,1734359.0,-206233.0,1420359.0,1284491.0,1559113.0,2728231.0,-453763.0,-571244.0,292108.0,-3218436.0,5222985.0,55886.0,676056.0,5234096.0,6472399.0,609698.0,2308219.0,-9705584.0,622007.0,4255491.0,-1616919.0,1877138.0,-1111691.0,-1072304.0,-723224.0,2002870.0,5183164.0,-60662.0,28279.0,678595.0,203653.0,1622586.0,2425531.0,-82536.0,1368619.0,0.08597285067873303
2024-11-21,-3191825.0,1199498.0,890279.0,286855167.0,4902435.0,616375.0,2837636.0,-5185131.0,422501.0,226526.0,-156762.0,58701.0,-121807.0,-23492714.0,-950128.0,-2595617.0,-186488.0,2145035.0,-283791.0,1408414.0,1551972.0,29801449.0,3153943.0,-505623.0,-120277.0,286624.0,-3046874.0,5325751.0,168240.0,217979.0,4731432.0,3668886.0,654200.0,3175398.0,-4799222.0,646223.0,8018333.0,-1509570.0,1512967.0,-889855.0,-1187166.0,-1126808.0,2071592.0,14784904.0,108166.0,508714.0,834946.0,298216.0,454762.0,2353622.0,302785.0,460392.0,-0.031503457696576455
2024-11-22,-4470171.0,509939.0,-3593351.0,181280808.0,2542126.0,207233.0,2711584.0,-4920847.0,-32495.0,171869.0,-263376.0,78788.0,-174873.0,-29029131.0,-1081330.0,-2573141.0,-359742.0,997021.0,-864550.0,1570550.0,1238336.0,4430357.0,862240.0,-690610.0,-88476.0,301792.0,-4430130.0,5126507.0,20408.0,-289584.0,8028088.0,5499195.0,822581.0,2113994.0,-9976020.0,450110.0,5094277.0,-1613720.0,1370042.0,-2074206.0,-1271686.0,224426.0,-691664.0,1951265.0,-93219.0,-521760.0,919054.0,151177.0,727021.0,1353819.0,-76640.0,687003.0,-0.031332707248356524
2024-11-25,-3153066.0,-158102.0,-3026298.0,100135948.0,471266.0,83821.0,5489112.0,-4027155.0,-9126.0,122837.0,-38621.0,-18421.0,-174873.0,-30170292.0,-651950.0,-2530199.0,-276404.0,1117161.0,-1125781.0,1914760.0,1220473.0,-9483127.0,-1141147.0,-741831.0,-304915.0,428894.0,-4551396.0,5095678.0,-17435.0,-486846.0,14458412.0,3549469.0,820925.0,-3371.0,-14762326.0,334090.0,2229128.0,-1587599.0,1992136.0,-3133460.0,-1343156.0,1185625.0,-870554.0,-1813899.0,-337832.0,-1108001.0,1255662.0,65439.0,644609.0,618741.0,-615665.0,228480.0,-0.17314095449500555
2024-11-26,-2112773.0,-103264.0,-1442131.0,96024892.0,1458416.0,-194552.0,10530263.0,-3290208.0,-58940.0,124526.0,76796.0,-87520.0,-58735.0,-25342067.0,-575834.0,-1610369.0,-504403.0,1020390.0,-1911435.0,2422694.0,879255.0,-1955107.0,-251294.0,-705406.0,-920980.0,206347.0,-3526552.0,4963858.0,-6182.0,-103385.0,22725936.0,5385218.0,551416.0,1569657.0,-11503035.0,500582.0,3716055.0,-1551230.0,1978347.0,-2080562.0,-2058987.0,1750878.0,2418466.0,3461207.0,-325074.0,-624514.0,1156020.0,97391.0,867535.0,-24477.0,-442471.0,558240.0,-0.19525313753948606
2024-11-27,-359301.0,93080.0,4209204.0,186729859.0,1695005.0,-55319.0,16700434.0,-1888590.0,416173.0,131122.0,314491.0,-80293.0,37903.0,-15506683.0,-33009.0,-620410.0,-506970.0,1700214.0,-1485274.0,4735087.0,853850.0,18183565.0,-445063.0,-567819.0,-1179135.0,416205.0,-2198483.0,4989225.0,-47488.0,481300.0,11548633.0,8845263.0,547120.0,989323.0,-6606187.0,436389.0,6827128.0,-1288144.0,2410846.0,-2300243.0,-1756126.0,3593990.0,2556110.0,12708412.0,-131386.0,-941068.0,1139070.0,290728.0,991247.0,-3778141.0,-47147.0,394358.0,-0.13583488082324063
2024-11-28,-85019.0,-832263.0,-1108190.0,62516686.0,-413485.0,6758.0,30994228.0,-3496404.0,291766.0,55745.0,-191667.0,-134070.0,22281.0,-23149058.0,155550.0,-512746.0,-341977.0,1071669.0,-721840.0,3291568.0,469331.0,-7118753.0,-1854953.0,-518150.0,-1104151.0,648529.0,-2024720.0,5228668.0,-393165.0,459980.0,18629290.0,16738941.0,996507.0,212555.0,-4916670.0,225035.0,7242196.0,-1118617.0,2780558.0,-2791005.0,-1196405.0,4588822.0,3847404.0,589541.0,-380690.0,-1008520.0,1134014.0,301141.0,965468.0,-3017103.0,-11436.0,-170139.0,0.002817382395628788
2024-11-29,1536121.0,380862.0,2990308.0,104952906.0,1288803.0,202951.0,21761327.0,-3446061.0,811811.0,143168.0,-346975.0,-34793.0,-38634.0,-15538786.0,3615.0,-662495.0,-214938.0,-663591.0,99788.0,6117898.0,749283.0,15265104.0,-586959.0,-580749.0,-1335882.0,586033.0,-418575.0,6310913.0,-133563.0,458412.0,25067607.0,7659249.0,1577696.0,-1070751.0,-701093.0,186844.0,3807951.0,-1295617.0,3231775.0,-1284781.0,-1062372.0,5131440.0,4938130.0,12871842.0,-488449.0,186274.0,1339379.0,326384.0,822586.0,-15640.0,-261996.0,-314223.0,-0.2504909075386323
2024-12-02,1029587.0,594391.0,3113065.0,109068020.0,2476625.0,172540.0,14959809.0,-3355087.0,959366.0,126659.0,-285094.0,-93518.0,-75060.0,-13974061.0,-766047.0,-901230.0,-181357.0,1726298.0,202228.0,7468806.0,786123.0,15728322.0,-556072.0,-560932.0,-1238392.0,688830.0,15885.0,6304808.0,-168977.0,458085.0,23859410.0,2721677.0,1676791.0,287353.0,-58778.0,132162.0,2260026.0,-1003231.0,3436117.0,26004.0,-984488.0,3468043.0,5248323.0,12965719.0,-208887.0,200641.0,1538322.0,306906.0,634815.0,-3906920.0,252079.0,63149.0,-0.19824127038333475
2024-12-03,555562.0,-166355.0,-1133680.0,43581162.0,-2159268.0,52384.0,11222000.0,-4826519.0,499373.0,46467.0,-190778.0,-3071.0,-150419.0,-16638566.0,-2128805.0,-1069873.0,-56992.0,228631.0,846108.0,6654456.0,117076.0,-7969510.0,-2414270.0,-609153.0,-1361026.0,914508.0,-123971.0,7597430.0,-442148.0,727873.0,24534918.0,8067902.0,1891765.0,-1172975.0,-899692.0,-66370.0,-3480197.0,-1047804.0,4008965.0,-178354.0,-374807.0,4202635.0,2399896.0,9993808.0,-165742.0,-616202.0,1250230.0,309925.0,432771.0,-4628418.0,57926.0,-334704.0,-0.09096924293976298
