datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-06-03,0.774,0.769,0.775,0.766,61360,4720328.0,1.17,-0.26,-0.002,2.26
2024-06-04,0.77,0.78,0.781,0.767,102354,7927463.0,1.82,1.43,0.011,3.77
2024-06-05,0.778,0.788,0.798,0.778,155361,12303743.0,2.56,1.03,0.008,5.73
2024-06-06,0.788,0.776,0.789,0.774,139957,10942502.0,1.9,-1.52,-0.012,5.16
2024-06-07,0.78,0.775,0.783,0.77,89494,6956107.0,1.68,-0.13,-0.001,3.3
2024-06-11,0.772,0.794,0.796,0.771,121356,9521302.0,3.23,2.45,0.019,4.47
2024-06-12,0.791,0.792,0.802,0.791,132182,10527404.0,1.39,-0.25,-0.002,4.87
2024-06-13,0.789,0.794,0.798,0.788,100128,7937590.0,1.26,0.25,0.002,3.69
2024-06-14,0.791,0.794,0.794,0.787,108712,8590946.0,0.88,0.0,0.0,4.01
2024-06-17,0.792,0.796,0.801,0.792,79699,6342001.0,1.13,0.25,0.002,2.94
2024-06-18,0.795,0.798,0.8,0.794,84961,6766131.0,0.75,0.25,0.002,3.13
2024-06-19,0.798,0.788,0.798,0.788,71905,5689586.0,1.25,-1.25,-0.01,2.65
2024-06-20,0.788,0.776,0.788,0.776,111455,8725446.0,1.52,-1.52,-0.012,4.11
2024-06-21,0.775,0.779,0.78,0.771,94171,7301382.0,1.16,0.39,0.003,3.47
2024-06-24,0.779,0.763,0.779,0.763,83746,6434265.0,2.05,-2.05,-0.016,3.09
2024-06-25,0.763,0.749,0.764,0.745,116096,8763305.0,2.49,-1.83,-0.014,4.28
2024-06-26,0.748,0.763,0.764,0.744,99799,7489416.0,2.67,1.87,0.014,3.68
2024-06-27,0.759,0.75,0.759,0.75,71409,5374829.0,1.18,-1.7,-0.013,2.63
2024-06-28,0.748,0.764,0.768,0.748,83941,6421801.0,2.67,1.87,0.014,3.1
2024-07-01,0.764,0.763,0.764,0.752,62386,4716122.0,1.57,-0.13,-0.001,2.3
2024-07-02,0.763,0.755,0.764,0.752,72565,5488095.0,1.57,-1.05,-0.008,2.68
2024-07-03,0.758,0.743,0.758,0.741,85149,6333377.0,2.25,-1.59,-0.012,3.14
2024-07-04,0.742,0.735,0.747,0.733,89573,6619126.0,1.88,-1.08,-0.008,3.3
2024-07-05,0.733,0.735,0.737,0.724,89891,6538560.0,1.77,0.0,0.0,3.31
2024-07-08,0.733,0.721,0.733,0.719,94623,6864458.0,1.9,-1.9,-0.014,3.49
2024-07-09,0.719,0.731,0.733,0.716,75652,5482387.0,2.36,1.39,0.01,2.79
2024-07-10,0.73,0.732,0.736,0.73,88535,6493033.0,0.82,0.14,0.001,3.26
2024-07-11,0.736,0.747,0.748,0.736,71824,5345317.0,1.64,2.05,0.015,2.65
2024-07-12,0.744,0.743,0.745,0.74,99350,7365087.0,0.67,-0.54,-0.004,3.66
2024-07-15,0.741,0.735,0.741,0.734,82043,6036558.0,0.94,-1.08,-0.008,3.03
2024-07-16,0.734,0.744,0.744,0.731,112137,8253266.0,1.77,1.22,0.009,4.13
2024-07-17,0.741,0.741,0.744,0.74,66407,4927255.0,0.54,-0.4,-0.003,2.45
2024-07-18,0.741,0.753,0.754,0.733,86095,6409431.0,2.83,1.62,0.012,3.17
2024-07-19,0.753,0.768,0.768,0.749,112471,8582193.0,2.52,1.99,0.015,4.15
2024-07-22,0.771,0.77,0.778,0.769,92404,7134541.0,1.17,0.26,0.002,3.41
2024-07-23,0.77,0.75,0.77,0.75,66427,5053858.0,2.6,-2.6,-0.02,2.45
2024-07-24,0.75,0.751,0.76,0.75,82820,6246553.0,1.33,0.13,0.001,3.05
2024-07-25,0.746,0.749,0.751,0.741,77846,5815022.0,1.33,-0.27,-0.002,2.87
2024-07-26,0.749,0.767,0.769,0.749,121334,9225853.0,2.67,2.4,0.018,4.47
2024-07-29,0.764,0.763,0.771,0.763,65176,4996646.0,1.04,-0.52,-0.004,2.4
2024-07-30,0.762,0.765,0.766,0.754,88257,6717044.0,1.57,0.26,0.002,3.25
2024-07-31,0.765,0.779,0.779,0.762,112360,8686043.0,2.22,1.83,0.014,4.14
2024-08-01,0.777,0.775,0.787,0.775,91523,7130466.0,1.54,-0.51,-0.004,3.37
2024-08-02,0.772,0.766,0.781,0.764,99406,7638320.0,2.19,-1.16,-0.009,3.67
2024-08-05,0.762,0.747,0.77,0.746,93945,7096120.0,3.13,-2.48,-0.019,3.46
2024-08-06,0.748,0.759,0.763,0.748,75174,5677234.0,2.01,1.61,0.012,2.77
2024-08-07,0.759,0.762,0.767,0.758,62915,4794895.0,1.19,0.4,0.003,2.32
2024-08-08,0.762,0.748,0.762,0.741,79551,5959064.0,2.76,-1.84,-0.014,2.93
2024-08-09,0.751,0.743,0.752,0.742,74495,5545042.0,1.34,-0.67,-0.005,2.75
2024-08-12,0.74,0.735,0.74,0.733,44152,3245013.0,0.94,-1.08,-0.008,1.63
2024-08-13,0.735,0.741,0.741,0.734,58726,4324593.0,0.95,0.82,0.006,2.17
2024-08-14,0.741,0.734,0.741,0.733,60617,4456883.0,1.08,-0.94,-0.007,2.24
2024-08-15,0.732,0.737,0.742,0.731,74824,5506720.0,1.5,0.41,0.003,2.76
2024-08-16,0.737,0.728,0.738,0.726,76465,5596255.0,1.63,-1.22,-0.009,2.82
2024-08-19,0.725,0.724,0.733,0.722,67353,4889935.0,1.51,-0.55,-0.004,2.48
2024-08-20,0.723,0.713,0.723,0.708,81630,5811071.0,2.07,-1.52,-0.011,3.01
2024-08-21,0.712,0.708,0.716,0.707,74189,5259457.0,1.26,-0.7,-0.005,2.74
2024-08-22,0.71,0.703,0.711,0.701,57147,4032178.0,1.41,-0.71,-0.005,2.11
2024-08-23,0.703,0.706,0.707,0.7,72138,5086536.0,1.0,0.43,0.003,2.66
2024-08-26,0.709,0.701,0.709,0.696,44330,3099109.0,1.84,-0.71,-0.005,1.63
2024-08-27,0.697,0.692,0.697,0.69,83774,5797630.0,1.0,-1.28,-0.009,3.09
2024-08-28,0.692,0.697,0.699,0.69,95027,6613199.0,1.3,0.72,0.005,3.5
2024-08-29,0.697,0.703,0.708,0.694,78925,5565834.0,2.01,0.86,0.006,2.91
2024-08-30,0.705,0.714,0.721,0.702,66111,4726918.0,2.7,1.56,0.011,2.44
2024-09-02,0.711,0.699,0.712,0.698,80066,5645980.0,1.96,-2.1,-0.015,2.95
2024-09-03,0.698,0.705,0.708,0.698,58807,4142167.0,1.43,0.86,0.006,2.17
2024-09-04,0.705,0.705,0.709,0.699,63534,4486170.0,1.42,0.0,0.0,2.34
2024-09-05,0.705,0.708,0.711,0.705,115695,8179991.0,0.85,0.43,0.003,4.27
2024-09-06,0.705,0.699,0.706,0.698,61691,4318430.0,1.13,-1.27,-0.009,2.27
2024-09-09,0.697,0.694,0.7,0.689,61197,4249732.0,1.57,-0.72,-0.005,2.26
2024-09-10,0.695,0.699,0.699,0.685,84153,5831481.0,2.02,0.72,0.005,3.1
2024-09-11,0.696,0.696,0.699,0.694,81636,5679069.0,0.72,-0.43,-0.003,3.01
2024-09-12,0.699,0.692,0.704,0.692,100578,6996142.0,1.72,-0.57,-0.004,3.71
2024-09-13,0.693,0.687,0.695,0.686,74463,5135542.0,1.3,-0.72,-0.005,2.75
2024-09-18,0.686,0.685,0.689,0.677,95502,6510640.0,1.75,-0.29,-0.002,3.52
2024-09-19,0.686,0.69,0.694,0.679,94131,6477670.0,2.19,0.73,0.005,3.47
2024-09-20,0.691,0.688,0.693,0.683,111176,7618985.0,1.45,-0.29,-0.002,4.1
2024-09-23,0.689,0.691,0.698,0.689,60395,4195525.0,1.31,0.44,0.003,2.23
2024-09-24,0.694,0.711,0.712,0.688,103584,7249706.0,3.47,2.89,0.02,3.82
2024-09-25,0.714,0.718,0.731,0.714,130643,9427207.0,2.39,0.98,0.007,4.82
2024-09-26,0.716,0.738,0.739,0.716,81941,5972745.0,3.2,2.79,0.02,3.02
2024-09-27,0.741,0.769,0.77,0.741,66963,5069074.0,3.93,4.2,0.031,2.47
2024-09-30,0.793,0.846,0.846,0.792,223988,18554969.0,7.02,10.01,0.077,8.26
2024-10-08,0.931,0.931,0.931,0.858,367495,33968570.0,8.63,10.05,0.085,13.55
2024-10-09,0.935,0.879,0.935,0.87,244385,21981429.0,6.98,-5.59,-0.052,9.01
2024-10-10,0.87,0.87,0.9,0.855,209995,18486732.0,5.12,-1.02,-0.009,7.74
2024-10-11,0.869,0.824,0.869,0.815,123994,10357344.0,6.21,-5.29,-0.046,4.57
2024-10-14,0.836,0.855,0.855,0.825,122621,10328331.0,3.64,3.76,0.031,4.52
2024-10-15,0.874,0.84,0.874,0.839,98108,8351333.0,4.09,-1.75,-0.015,3.62
2024-10-16,0.814,0.828,0.844,0.814,95572,7935402.0,3.57,-1.43,-0.012,3.52
2024-10-17,0.832,0.835,0.847,0.832,104640,8796874.0,1.81,0.85,0.007,3.86
2024-10-18,0.835,0.87,0.888,0.829,154701,13289590.0,7.07,4.19,0.035,5.7
2024-10-21,0.877,0.914,0.928,0.877,268311,24437752.0,5.86,5.06,0.044,9.89
2024-10-22,0.93,0.9,0.932,0.89,224510,20234849.0,4.6,-1.53,-0.014,8.28
2024-10-23,0.9,0.909,0.929,0.895,257345,23515555.0,3.78,1.0,0.009,9.49
2024-10-24,0.909,0.899,0.912,0.892,135766,12202562.0,2.2,-1.1,-0.01,5.01
2024-10-25,0.896,0.906,0.912,0.896,146740,13263041.0,1.78,0.78,0.007,5.41
