datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-06-04,0.992,0.993,0.995,0.991,839530,83387721.422,0.4,0.0,0.0,21.17
2025-06-05,0.992,0.991,0.999,0.989,339552,33700902.165,1.01,-0.2,-0.002,8.56
2025-06-06,0.991,0.993,0.996,0.99,290195,28832767.807,0.61,0.2,0.002,7.32
2025-06-09,0.993,0.995,0.996,0.99,390321,38809654.862,0.6,0.2,0.002,9.84
2025-06-10,0.995,0.994,1.0,0.99,480886,47928326.816,1.01,-0.1,-0.001,12.12
2025-06-11,0.993,1.001,1.002,0.993,801510,80203315.374,0.91,0.7,0.007,20.21
2025-06-12,1.0,0.997,1.0,0.996,127265,12692968.714,0.4,-0.4,-0.004,3.21
2025-06-13,0.996,0.993,1.0,0.993,138335,13770532.332,0.7,-0.4,-0.004,3.49
2025-06-16,0.991,0.989,0.995,0.988,169143,16760473.53,0.7,-0.4,-0.004,4.26
2025-06-17,0.989,0.991,0.991,0.987,136095,13467100.587,0.4,0.2,0.002,3.43
2025-06-18,0.991,0.988,0.995,0.986,112264,11111532.384,0.91,-0.3,-0.003,2.83
2025-06-19,0.988,0.978,0.988,0.976,186579,18327930.065,1.21,-1.01,-0.01,4.7
2025-06-20,0.978,0.983,0.986,0.978,164063,16132052.765,0.82,0.51,0.005,4.14
2025-06-23,0.983,0.986,0.988,0.98,267442,26292036.187,0.81,0.31,0.003,6.74
2025-06-24,0.98,0.991,0.993,0.98,184286,18243276.166,1.32,0.51,0.005,4.65
2025-06-25,0.99,0.994,0.995,0.985,215244,21338858.328,1.01,0.3,0.003,5.43
2025-06-26,0.993,0.996,1.0,0.993,693497,69250627.38,0.7,0.2,0.002,17.49
2025-06-27,0.994,0.999,1.004,0.994,707776,70940890.72,1.0,0.3,0.003,17.85
2025-06-30,0.999,1.001,1.002,0.996,152387,15239497.751,0.6,0.2,0.002,3.84
2025-07-01,0.999,1.005,1.005,0.992,358485,35961221.899,1.3,0.4,0.004,9.04
2025-07-02,1.005,1.013,1.014,0.999,1265761,127871287.071,1.49,0.8,0.008,31.91
2025-07-03,1.012,1.016,1.017,1.011,630222,63930501.352,0.59,0.3,0.003,15.89
2025-07-04,1.016,1.016,1.021,1.012,519335,52810801.963,0.89,0.0,0.0,13.09
