datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-06-03,0.502,0.497,0.503,0.494,89902,4486073.0,1.79,-1.39,-0.007,1.26
2024-06-04,0.497,0.51,0.51,0.497,149173,7519612.0,2.62,2.62,0.013,2.1
2024-06-05,0.51,0.509,0.514,0.506,201828,10304645.0,1.57,-0.2,-0.001,2.84
2024-06-06,0.509,0.502,0.51,0.5,190141,9577721.0,1.96,-1.38,-0.007,2.67
2024-06-07,0.505,0.497,0.505,0.496,108850,5430908.0,1.79,-1.0,-0.005,1.53
2024-06-11,0.497,0.502,0.504,0.492,102614,5104309.0,2.41,1.01,0.005,1.44
2024-06-12,0.498,0.507,0.513,0.498,133983,6795807.0,2.99,1.0,0.005,1.88
2024-06-13,0.507,0.506,0.509,0.503,84777,4292849.0,1.18,-0.2,-0.001,1.19
2024-06-14,0.506,0.5,0.506,0.494,90672,4510195.0,2.37,-1.19,-0.006,1.27
2024-06-17,0.5,0.501,0.501,0.496,84200,4203916.0,1.0,0.2,0.001,1.18
2024-06-18,0.501,0.496,0.501,0.493,186106,9222948.0,1.6,-1.0,-0.005,2.62
2024-06-19,0.496,0.489,0.496,0.488,145191,7117603.0,1.61,-1.41,-0.007,2.04
2024-06-20,0.489,0.481,0.493,0.48,171148,8353807.0,2.66,-1.64,-0.008,2.41
2024-06-21,0.481,0.483,0.486,0.478,150083,7226788.0,1.66,0.42,0.002,2.11
2024-06-24,0.482,0.476,0.482,0.474,170385,8134044.0,1.66,-1.45,-0.007,2.39
2024-06-25,0.475,0.471,0.477,0.469,177461,8400891.0,1.68,-1.05,-0.005,2.49
2024-06-26,0.47,0.481,0.482,0.47,112964,5354724.0,2.55,2.12,0.01,1.59
2024-06-27,0.477,0.471,0.479,0.47,57802,2729411.0,1.87,-2.08,-0.01,0.81
2024-06-28,0.471,0.466,0.474,0.464,175884,8234633.0,2.12,-1.06,-0.005,2.47
2024-07-01,0.466,0.467,0.469,0.459,91101,4236422.0,2.15,0.21,0.001,1.28
2024-07-02,0.467,0.463,0.467,0.461,74148,3446539.0,1.28,-0.86,-0.004,1.04
2024-07-03,0.463,0.461,0.466,0.459,91158,4201757.0,1.51,-0.43,-0.002,1.28
2024-07-04,0.461,0.451,0.461,0.45,142824,6470249.0,2.39,-2.17,-0.01,2.01
2024-07-05,0.451,0.468,0.47,0.449,197761,9056345.0,4.66,3.77,0.017,2.78
2024-07-08,0.468,0.456,0.469,0.453,147950,6787227.0,3.42,-2.56,-0.012,2.08
2024-07-09,0.453,0.457,0.458,0.447,185443,8379749.0,2.41,0.22,0.001,2.61
2024-07-10,0.456,0.455,0.462,0.452,136332,6233227.0,2.19,-0.44,-0.002,1.92
2024-07-11,0.46,0.468,0.471,0.458,138712,6463543.0,2.86,2.86,0.013,1.95
2024-07-12,0.47,0.474,0.476,0.47,90413,4276719.0,1.28,1.28,0.006,1.27
2024-07-15,0.47,0.468,0.473,0.465,108639,5079162.0,1.69,-1.27,-0.006,1.53
2024-07-16,0.469,0.47,0.47,0.466,62517,2925118.0,0.85,0.43,0.002,0.88
