datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-11-06,1.06,1.063,1.094,1.047,1817696,193605796.247,4.46,0.85,0.009,77.89
2024-11-07,1.051,1.108,1.108,1.034,883752,94227489.698,6.96,4.23,0.045,37.87
2024-11-08,1.112,1.113,1.138,1.107,518846,58276536.908,2.8,0.45,0.005,22.23
2024-11-11,1.114,1.164,1.164,1.108,371314,42555315.281,5.03,4.58,0.051,15.91
2024-11-12,1.167,1.14,1.167,1.128,368733,42446264.664,3.35,-2.06,-0.024,15.8
2024-11-13,1.14,1.163,1.167,1.118,233596,26790143.469,4.3,2.02,0.023,10.01
2024-11-14,1.163,1.132,1.174,1.128,174715,20147580.886,3.96,-2.67,-0.031,7.49
2024-11-15,1.132,1.092,1.159,1.091,216953,24379243.879,6.01,-3.53,-0.04,9.3
2024-11-18,1.093,1.028,1.1,1.021,132250,13804565.246,7.23,-5.86,-0.064,5.67
2024-11-19,1.028,1.051,1.054,1.009,130205,13449489.799,4.38,2.24,0.023,5.58
2024-11-20,1.05,1.072,1.084,1.044,101838,10839861.049,3.81,2.0,0.021,4.36
2024-11-21,1.07,1.094,1.109,1.066,115159,12543601.553,4.01,2.05,0.022,4.93
2024-11-22,1.099,1.06,1.119,1.059,135867,14820709.446,5.48,-3.11,-0.034,5.82
2024-11-25,1.06,1.057,1.075,1.025,196024,20470325.434,4.72,-0.28,-0.003,8.4
2024-11-26,1.057,1.034,1.066,1.033,95690,10013763.711,3.12,-2.18,-0.023,4.1
2024-11-27,1.034,1.075,1.077,1.013,100323,10450191.073,6.19,3.97,0.041,4.3
2024-11-28,1.08,1.057,1.09,1.056,68438,7347966.082,3.16,-1.67,-0.018,2.93
2024-11-29,1.057,1.098,1.116,1.054,177279,19389253.641,5.87,3.88,0.041,7.6
2024-12-02,1.088,1.106,1.113,1.087,102337,11303132.537,2.37,0.73,0.008,4.39
2024-12-03,1.1,1.103,1.113,1.088,52174,5738585.024,2.26,-0.27,-0.003,2.24
2024-12-04,1.104,1.085,1.125,1.08,108935,11909742.385,4.08,-1.63,-0.018,4.67
2024-12-05,1.084,1.117,1.124,1.08,163292,18173384.392,4.06,2.95,0.032,7.0
2024-12-06,1.117,1.122,1.142,1.104,70472,7929732.445,3.4,0.45,0.005,3.02
2024-12-09,1.12,1.113,1.142,1.102,68783,7667774.493,3.57,-0.8,-0.009,2.95
2024-12-10,1.149,1.134,1.166,1.131,103599,11896311.766,3.14,1.89,0.021,4.44
2024-12-11,1.128,1.131,1.132,1.116,63458,7139346.547,1.41,-0.26,-0.003,2.72
2024-12-12,1.14,1.13,1.147,1.111,72405,8120279.731,3.18,-0.09,-0.001,3.1
2024-12-13,1.121,1.098,1.124,1.097,47801,5312231.018,2.39,-2.83,-0.032,2.05
2024-12-16,1.098,1.076,1.098,1.07,60292,6502741.879,2.55,-2.0,-0.022,2.58
2024-12-17,1.075,1.056,1.076,1.054,64826,6875419.762,2.04,-1.86,-0.02,2.78
2024-12-18,1.057,1.07,1.073,1.048,52796,5609703.759,2.37,1.33,0.014,2.26
2024-12-19,1.069,1.08,1.083,1.05,69507,7413427.82,3.08,0.93,0.01,2.98
2024-12-20,1.074,1.087,1.097,1.074,100957,10977969.9,2.13,0.65,0.007,4.33
2024-12-23,1.089,1.049,1.089,1.047,100442,10643491.1,3.86,-3.5,-0.038,4.3
2024-12-24,1.049,1.055,1.057,1.038,82651,8649681.051,1.81,0.57,0.006,3.54
2024-12-25,1.056,1.042,1.056,1.034,99863,10397721.169,2.09,-1.23,-0.013,4.28
2024-12-26,1.042,1.059,1.067,1.042,70375,7452961.228,2.4,1.63,0.017,3.02
2024-12-27,1.056,1.056,1.08,1.051,74229,7936274.181,2.74,-0.28,-0.003,3.18
2024-12-30,1.053,1.051,1.061,1.037,23402,2459609.757,2.27,-0.47,-0.005,1.0
2024-12-31,1.053,1.008,1.055,1.005,203676,20893918.795,4.76,-4.09,-0.043,8.73
2025-01-02,0.999,0.955,1.0,0.944,138307,13479635.385,5.56,-5.26,-0.053,5.93
2025-01-03,0.958,0.915,0.958,0.913,88588,8254520.076,4.71,-4.19,-0.04,3.8
2025-01-06,0.911,0.907,0.923,0.901,59060,5376873.716,2.4,-0.87,-0.008,2.53
2025-01-07,0.921,0.928,0.928,0.908,50000,4585272.638,2.21,2.32,0.021,2.14
2025-01-08,0.922,0.918,0.925,0.888,111301,10071853.824,3.99,-1.08,-0.01,4.77
2025-01-09,0.911,0.924,0.931,0.91,65897,6097168.8,2.29,0.65,0.006,2.82
2025-01-10,0.922,0.903,0.935,0.902,72769,6689880.1,3.57,-2.27,-0.021,3.12
2025-01-13,0.889,0.908,0.916,0.885,60687,5483476.2,3.43,0.55,0.005,2.6
2025-01-14,0.915,0.975,0.975,0.911,229267,21815846.031,7.05,7.38,0.067,9.82
2025-01-15,0.966,0.955,0.966,0.954,94881,9104635.495,1.23,-2.05,-0.02,4.07
2025-01-16,0.962,0.966,0.994,0.957,139992,13652004.398,3.87,1.15,0.011,6.0
2025-01-17,0.958,0.967,0.977,0.956,85815,8305322.913,2.17,0.1,0.001,3.68
2025-01-20,0.97,0.967,0.979,0.964,85927,8342426.445,1.55,0.0,0.0,3.68
2025-01-21,0.971,0.975,0.975,0.96,122570,11884553.61,1.55,0.83,0.008,5.25
2025-01-22,0.97,0.966,0.972,0.962,57933,5602476.466,1.03,-0.92,-0.009,2.48
2025-01-23,0.976,0.967,1.001,0.965,87987,8668570.364,3.73,0.1,0.001,3.77
2025-01-24,0.959,1.008,1.008,0.947,243371,24208262.547,6.31,4.24,0.041,10.43
2025-01-27,1.036,1.008,1.043,1.004,311552,31660045.575,3.87,0.0,0.0,13.35
