datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-05,0.994,1.001,1.004,0.989,2337139,233355495.0,1.5,0.3,0.003,9.6
2025-03-06,1.009,1.026,1.032,1.006,6119176,625691234.0,2.6,2.5,0.025,25.12
2025-03-07,1.022,1.017,1.031,1.014,890100,91070980.0,1.66,-0.88,-0.009,3.65
2025-03-10,1.017,1.024,1.025,1.007,618448,62955232.0,1.77,0.69,0.007,2.54
2025-03-11,1.017,1.016,1.02,1.006,579102,58645534.0,1.37,-0.78,-0.008,2.38
2025-03-12,1.021,1.014,1.028,1.014,547643,56004615.0,1.38,-0.2,-0.002,2.25
2025-03-13,1.015,0.992,1.015,0.985,957764,95519027.0,2.96,-2.17,-0.022,3.93
2025-03-14,0.991,1.006,1.007,0.987,633019,63317020.0,2.02,1.41,0.014,2.6
2025-03-17,1.008,1.007,1.009,1.001,366604,36894237.0,0.8,0.1,0.001,1.51
2025-03-18,1.01,1.012,1.023,1.007,340202,34557025.0,1.59,0.5,0.005,1.4
2025-03-19,1.013,1.004,1.013,1.0,231102,23213125.0,1.28,-0.79,-0.008,0.95
2025-03-20,1.004,0.995,1.004,0.993,357881,35721043.0,1.1,-0.9,-0.009,1.47
2025-03-21,0.995,0.972,1.0,0.966,766014,75003818.0,3.42,-2.31,-0.023,3.15
2025-03-24,0.972,0.966,0.975,0.947,386519,37091323.0,2.88,-0.62,-0.006,1.59
2025-03-25,0.966,0.955,0.969,0.952,215982,20703786.0,1.76,-1.14,-0.011,0.89
2025-03-26,0.955,0.956,0.966,0.955,125947,12097229.0,1.15,0.1,0.001,0.52
2025-03-27,0.956,0.963,0.976,0.949,238255,22975412.0,2.82,0.73,0.007,0.98
2025-03-28,0.964,0.955,0.968,0.955,277011,26614821.0,1.35,-0.83,-0.008,1.14
2025-03-31,0.955,0.952,0.956,0.938,235270,22242572.0,1.88,-0.31,-0.003,0.97
2025-04-01,0.956,0.959,0.969,0.951,175908,16935798.0,1.89,0.74,0.007,0.72
2025-04-02,0.959,0.962,0.969,0.958,145990,14063643.0,1.15,0.31,0.003,0.6
2025-04-03,0.957,0.949,0.967,0.946,229267,21860186.0,2.18,-1.35,-0.013,0.94
2025-04-07,0.91,0.831,0.912,0.799,532585,45694691.0,11.91,-12.43,-0.118,2.19
2025-04-08,0.838,0.842,0.863,0.83,268167,22627816.0,3.97,1.32,0.011,1.1
2025-04-09,0.82,0.874,0.883,0.811,430131,37092357.0,8.55,3.8,0.032,1.77
2025-04-10,0.891,0.9,0.914,0.891,737565,66603309.0,2.63,2.97,0.026,3.03
2025-04-11,0.89,0.925,0.934,0.89,596317,54859308.0,4.89,2.78,0.025,2.45
2025-04-14,0.928,0.929,0.939,0.925,3089578,287944542.0,1.51,0.43,0.004,12.69
2025-04-15,0.925,0.921,0.928,0.914,1115421,102593414.0,1.51,-0.86,-0.008,4.58
2025-04-16,0.923,0.92,0.928,0.907,795556,73122416.0,2.28,-0.11,-0.001,3.27
2025-04-17,0.919,0.926,0.935,0.915,755843,70273780.0,2.17,0.65,0.006,3.1
2025-04-18,0.921,0.923,0.926,0.915,2281354,209847815.0,1.19,-0.32,-0.003,9.37
2025-04-21,0.923,0.939,0.939,0.917,1221960,114161696.0,2.38,1.73,0.016,5.02
2025-04-22,0.94,0.936,0.943,0.93,1201061,112650523.0,1.38,-0.32,-0.003,4.93
2025-04-23,0.939,0.938,0.945,0.932,2445390,229236312.0,1.39,0.21,0.002,10.04
2025-04-24,0.938,0.926,0.94,0.923,3273069,304130362.0,1.81,-1.28,-0.012,13.44
2025-04-25,0.929,0.927,0.933,0.918,3338808,309602570.0,1.62,0.11,0.001,13.71
2025-04-28,0.926,0.924,0.929,0.918,2451908,226884824.0,1.19,-0.32,-0.003,10.07
