datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-06-03,0.765,0.77,0.78,0.764,61669,4757449.0,2.1,0.92,0.007,2.31
2024-06-04,0.77,0.779,0.779,0.77,6635,512408.0,1.17,1.17,0.009,0.25
2024-06-05,0.781,0.775,0.786,0.775,17883,1390572.0,1.41,-0.51,-0.004,0.67
2024-06-06,0.783,0.769,0.786,0.769,58461,4516884.0,2.19,-0.77,-0.006,2.19
2024-06-07,0.772,0.76,0.773,0.756,69299,5279887.0,2.21,-1.17,-0.009,2.59
2024-06-11,0.76,0.768,0.769,0.725,25498,1936869.0,5.79,1.05,0.008,0.95
2024-06-12,0.767,0.769,0.774,0.767,1046,80475.0,0.91,0.13,0.001,0.04
2024-06-13,0.77,0.781,0.783,0.77,14265,1111968.0,1.69,1.56,0.012,0.53
2024-06-14,0.791,0.803,0.812,0.777,74335,5976265.0,4.48,2.82,0.022,2.78
2024-06-17,0.803,0.798,0.806,0.791,70791,5666083.0,1.87,-0.62,-0.005,2.65
2024-06-18,0.8,0.814,0.822,0.8,50635,4114144.0,2.76,2.01,0.016,1.9
2024-06-19,0.814,0.808,0.818,0.808,70278,5695772.0,1.23,-0.74,-0.006,2.63
2024-06-20,0.808,0.793,0.808,0.792,49678,3946692.0,1.98,-1.86,-0.015,1.86
2024-06-21,0.785,0.79,0.792,0.78,43563,3425264.0,1.51,-0.38,-0.003,1.63
2024-06-24,0.788,0.768,0.788,0.768,28246,2181153.0,2.53,-2.78,-0.022,1.06
2024-06-25,0.766,0.752,0.766,0.747,54332,4096533.0,2.47,-2.08,-0.016,2.03
2024-06-26,0.755,0.78,0.784,0.754,57955,4386950.0,3.99,3.72,0.028,2.17
2024-06-27,0.78,0.765,0.78,0.765,53273,4086989.0,1.92,-1.92,-0.015,1.99
2024-06-28,0.769,0.761,0.777,0.759,53328,4077866.0,2.35,-0.52,-0.004,2.0
2024-07-01,0.762,0.763,0.766,0.75,46173,3502322.0,2.1,0.26,0.002,1.73
2024-07-02,0.771,0.76,0.774,0.76,48019,3670713.0,1.83,-0.39,-0.003,1.8
2024-07-03,0.753,0.756,0.759,0.75,55311,4193019.0,1.18,-0.53,-0.004,2.07
2024-07-04,0.764,0.747,0.764,0.747,39614,2984477.0,2.25,-1.19,-0.009,1.48
2024-07-05,0.745,0.752,0.753,0.741,4783,357007.0,1.61,0.67,0.005,0.18
2024-07-08,0.747,0.74,0.747,0.737,2626,194751.0,1.33,-1.6,-0.012,0.1
2024-07-09,0.745,0.761,0.763,0.738,29464,2210929.0,3.38,2.84,0.021,1.1
2024-07-10,0.759,0.762,0.767,0.759,5001,382115.0,1.05,0.13,0.001,0.19
2024-07-11,0.762,0.77,0.771,0.762,19993,1533485.0,1.18,1.05,0.008,0.75
2024-07-12,0.761,0.761,0.762,0.759,1717,130493.0,0.39,-1.17,-0.009,0.06
2024-07-15,0.754,0.748,0.754,0.748,54519,4097652.0,0.79,-1.71,-0.013,2.04
2024-07-16,0.746,0.76,0.76,0.741,51862,3896511.0,2.54,1.6,0.012,1.94
2024-07-17,0.752,0.753,0.766,0.752,6924,522025.0,1.84,-0.92,-0.007,0.26
2024-07-18,0.765,0.745,0.778,0.727,14499,1065260.0,6.77,-1.06,-0.008,0.54
2024-07-19,0.743,0.746,0.752,0.74,67436,5036983.0,1.61,0.13,0.001,2.52
2024-07-22,0.748,0.756,0.759,0.748,53407,4025005.0,1.47,1.34,0.01,2.0
2024-07-23,0.753,0.736,0.753,0.736,7423,549067.0,2.25,-2.65,-0.02,0.28
2024-07-24,0.74,0.727,0.744,0.725,25336,1849377.0,2.58,-1.22,-0.009,0.95
2024-07-25,0.722,0.713,0.722,0.711,46734,3347219.0,1.51,-1.93,-0.014,1.75
