datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-06-14,0.977,0.984,0.99,0.973,939226,92207576.343,1.72,-0.4,-0.004,260.25
2024-06-17,0.984,0.975,0.992,0.975,194113,19017974.772,1.73,-0.91,-0.009,53.79
2024-06-18,0.974,0.982,0.99,0.968,191860,18872259.195,2.26,0.72,0.007,53.16
2024-06-19,0.981,0.997,1.005,0.981,903067,90326841.302,2.44,1.53,0.015,250.23
2024-06-20,1.003,0.997,1.011,0.99,464367,46763682.488,2.11,0.0,0.0,128.67
2024-06-21,1.0,1.0,1.014,0.993,259917,26148026.461,2.11,0.3,0.003,72.02
2024-06-24,0.987,0.979,0.987,0.976,67457,6614139.363,1.1,-2.1,-0.021,18.69
2024-06-25,0.975,0.978,0.989,0.974,31697,3114590.415,1.53,-0.1,-0.001,8.78
2024-06-26,0.978,0.974,0.978,0.96,88239,8557387.226,1.84,-0.41,-0.004,24.45
2024-06-27,0.972,0.953,0.972,0.951,36259,3477773.281,2.16,-2.16,-0.021,10.05
2024-06-28,0.955,0.979,0.983,0.955,64385,6257339.624,2.94,2.73,0.026,17.84
2024-07-01,0.983,0.994,0.996,0.98,37938,3751155.647,1.63,1.53,0.015,10.51
2024-07-02,0.993,0.994,1.003,0.987,35199,3500360.289,1.61,0.0,0.0,9.75
2024-07-03,0.993,0.993,0.996,0.988,19653,1950247.284,0.8,-0.1,-0.001,5.45
2024-07-04,0.993,0.998,1.019,0.993,246724,24957093.435,2.62,0.5,0.005,68.36
2024-07-05,0.993,1.035,1.035,0.993,543368,55567428.091,4.21,3.71,0.037,150.56
2024-07-08,1.04,1.032,1.05,1.03,128378,13368239.091,1.93,-0.29,-0.003,35.57
2024-07-09,1.028,1.046,1.05,1.027,127290,13252070.802,2.23,1.36,0.014,35.27
2024-07-10,1.045,1.031,1.055,1.027,125344,13118670.159,2.68,-1.43,-0.015,34.73
2024-07-11,1.035,1.061,1.061,1.035,126923,13364038.085,2.52,2.91,0.03,35.17
2024-07-12,1.073,1.043,1.079,1.033,59452,6247118.112,4.34,-1.7,-0.018,16.47
2024-07-15,1.043,1.059,1.065,1.036,102317,10826077.963,2.78,1.53,0.016,28.35
