代码,名称,样本量,日均成交额,日均涨跌幅
159851,金融科技ETF,1041,406715285.6405039,0.32388888888888884
159570,港股通创新药ETF,349,474419801.35473406,0.3019047619047619
159567,港股创新药ETF,356,431421504.5087144,0.2952380952380952
159922,中证500ETF,1459,419568184.3822738,0.2941666666666667
513090,香港证券ETF,1279,4819005342.924603,0.2892857142857143
513120,港股创新药ETF,723,2200606279.611111,0.2865476190476191
159506,港股通医疗ETF富国,487,306877292.4911389,0.2553174603174603
159892,恒生医药ETF,901,635145734.1161824,0.25015873015873014
516010,游戏ETF,1051,105973161.71428572,0.22515873015873014
159869,游戏ETF,1051,487436181.5725119,0.22452380952380951
513200,港股通医药ETF,824,189981019.34126985,0.2180952380952381
513060,恒生医疗ETF,1035,1366401835.015873,0.21555555555555553
513700,香港医药ETF,946,110490412.32539682,0.21226190476190473
588200,科创芯片ETF,653,2263889255.4920635,0.20992063492063492
513560,香港科技ETF,581,189855458.8531746,0.20952380952380953
588290,科创芯片ETF基金,653,186461218.40079364,0.20785714285714285
513750,港股通非银ETF,388,167592035.5277778,0.20515873015873018
513980,港股科技50ETF,971,675832799.3571428,0.20384920634920634
513860,港股通科技ETF,971,165032506.26190478,0.2019047619047619
513020,港股科技ETF,827,121740240.04365079,0.20162698412698413
159751,港股科技ETF,851,109907767.56022222,0.1996825396825397
159636,港股通科技30ETF,717,440264835.66665083,0.19329365079365082
159529,标普消费ETF,336,774822515.6453016,0.19003968253968254
515230,软件ETF,1054,107236514.5515873,0.17920634920634926
159747,香港科技ETF,963,140009057.9742857,0.17194444444444443
159531,中证2000ETF,432,108415169.51276588,0.17075396825396827
159852,软件ETF,1064,155999167.8638413,0.16384920634920638
513770,港股互联网ETF,819,428358024.25793654,0.16174603174603175
512070,证券保险ETF,1458,236113807.0,0.16099206349206355
159568,港股互联网ETF,329,167113428.72639683,0.15999999999999998
159792,港股通互联网ETF,911,1649553039.5821664,0.15809523809523815
512800,银行ETF,1459,416139841.40873015,0.15773809523809523
563300,中证2000ETF,434,389131367.98015875,0.1573015873015873
516510,云计算ETF,1029,160680113.17857143,0.15519841269841272
513160,港股科技30ETF,826,281373860.8611111,0.15468253968253967
512980,传媒ETF,1459,145549664.73809522,0.15388888888888888
515400,大数据ETF,1078,110006188.3531746,0.15384920634920637
512480,半导体ETF,1458,1422477507.313492,0.15242063492063496
512000,券商ETF,1459,851759409.4325397,0.15091269841269842
512880,证券ETF,1459,1558841465.7896826,0.15063492063492062
159841,证券ETF,1064,258886857.2383333,0.14932539682539683
159740,恒生科技ETF,996,1229146354.3768413,0.14892857142857144
159742,恒生科技指数ETF,998,248501358.43613493,0.14825396825396828
513130,恒生科技ETF,993,4101611046.015873,0.14765873015873018
513180,恒生科技指数ETF,998,4555308310.134921,0.14666666666666667
159842,券商ETF,1041,120192400.04316269,0.14658730158730157
513380,恒生科技ETF龙头,765,376531211.4126984,0.146547619047619
588800,科创100ETF华夏,395,270007680.47619045,0.1463888888888889
159995,芯片ETF,1312,750776400.655016,0.1462301587301587
512760,芯片ETF,1458,442911768.6825397,0.1458730158730159
588030,科创100指数ETF,433,401941386.9404762,0.1458333333333333
513030,德国ETF,1458,595968085.0992063,0.14551587301587302
159741,恒生科技ETF嘉实,991,140943616.28820238,0.1453571428571429
159813,半导体ETF,1241,287549966.00680554,0.14519841269841272
588120,科创板100ETF,433,113441620.65079366,0.1442460317460318
588220,科创100ETF基金,433,368407417.3055556,0.1438095238095238
588190,科创100ETF,433,285684438.56349206,0.14349206349206345
513260,恒生科技ETF基金,679,390152229.8095238,0.1431746031746032
588000,科创50ETF,1124,4114477069.952381,0.14174603174603176
513010,恒生科技ETF易方达,998,986296599.4166666,0.1413095238095238
513580,恒生科技ETF指数基金,996,213192759.48015872,0.1411507936507937
159561,德国ETF,281,335978802.74847627,0.14115079365079367
588080,科创板50ETF,1124,1168520018.079365,0.1387698412698413
588050,科创ETF,1124,361725468.1269841,0.13841269841269846
159949,创业板50ETF,1459,1213259642.5953016,0.13809523809523813
588090,科创板ETF,1124,133894932.58730158,0.13805555555555551
159682,创业50ETF,605,267950645.32076192,0.13801587301587295
588060,科创50ETF龙头,952,259387591.3968254,0.1373015873015873
518850,黄金ETF华夏,1232,173785827.7777778,0.1354365079365079
518880,黄金ETF,1459,2475182754.876984,0.13472222222222224
159934,黄金ETF,1459,640287125.3655279,0.13460317460317464
159937,黄金ETF基金,1459,396911930.5859801,0.13448412698412698
518800,黄金基金ETF,1459,210727338.92857143,0.13412698412698412
159770,机器人ETF,887,150541529.6683968,0.13273809523809524
515980,人工智能ETF,1312,119773796.60714285,0.12753968253968256
562500,机器人ETF,850,514244186.3055556,0.1271031746031746
159819,人工智能ETF,1156,468208262.72331744,0.12496031746031748
510900,H股ETF,1459,494053540.1230159,0.12388888888888888
515070,人工智能AIETF,1339,114125807.00396825,0.12297619047619048
159915,创业板ETF,1458,3558859213.458286,0.1225396825396825
159992,创新药ETF,1269,380249276.328119,0.12234126984126992
159952,创业板ETF广发,1457,255160717.28515473,0.12178571428571427
513330,恒生互联网ETF,1065,3405438130.265873,0.12150793650793652
515120,创新药ETF,1090,121074583.05555555,0.1215079365079365
159920,恒生ETF,1459,969788417.9647778,0.12126984126984128
513660,恒生ETF,1458,221491108.68650794,0.12019841269841271
513220,中概互联ETF,720,101334676.82539682,0.11829365079365081
513600,恒生指数ETF,1458,230898583.2142857,0.11706349206349204
512660,军工ETF,1459,518511985.3174603,0.11678571428571428
512670,国防ETF,1435,178060166.8531746,0.11567460317460314
